tick: 269.0,             Human number: 12,             Zombie number: 93
tick: 270.0,             Human number: 12,             Zombie number: 93
tick: 271.0,             Human number: 12,             Zombie number: 93
tick: 272.0,             Human number: 11,             Zombie number: 94
tick: 273.0,             Human number: 11,             Zombie number: 94
tick: 274.0,             Human number: 10,             Zombie number: 95
tick: 275.0,             Human number: 10,             Zombie number: 95
tick: 276.0,             Human number: 10,             Zombie number: 95
tick: 277.0,             Human number: 10,             Zombie number: 95
tick: 278.0,             Human number: 9,             Zombie number: 96
tick: 279.0,             Human number: 9,             Zombie number: 96
tick: 280.0,             Human number: 8,             Zombie number: 97
tick: 281.0,             Human number: 8,             Zombie number: 97
tick: 282.0,             Human number: 8,             Zombie number: 97
tick: 283.0,             Human number: 8,             Zombie number: 97
tick: 284.0,             Human number: 8,             Zombie number: 97
tick: 285.0,             Human number: 8,             Zombie number: 97
tick: 286.0,             Human number: 8,             Zombie number: 97
tick: 287.0,             Human number: 8,             Zombie number: 97
tick: 288.0,             Human number: 8,             Zombie number: 97
tick: 289.0,             Human number: 8,             Zombie number: 97
tick: 290.0,             Human number: 8,             Zombie number: 97
tick: 291.0,             Human number: 8,             Zombie number: 97
tick: 292.0,             Human number: 8,             Zombie number: 97
tick: 293.0,             Human number: 7,             Zombie number: 98
tick: 294.0,             Human number: 7,             Zombie number: 98
tick: 295.0,             Human number: 7,             Zombie number: 98
tick: 296.0,             Human number: 6,             Zombie number: 99
tick: 297.0,             Human number: 6,             Zombie number: 99
tick: 298.0,             Human number: 6,             Zombie number: 99
tick: 299.0,             Human number: 6,             Zombie number: 99
tick: 300.0,             Human number: 6,             Zombie number: 99
tick: 301.0,             Human number: 6,             Zombie number: 99
tick: 302.0,             Human number: 4,             Zombie number: 101
tick: 303.0,             Human number: 1,             Zombie number: 104
tick: 304.0,             Human number: 1,             Zombie number: 104
tick: 305.0,             Human number: 1,             Zombie number: 104
tick: 306.0,             Human number: 1,             Zombie number: 104
tick: 307.0,             Human number: 1,             Zombie number: 104
tick: 308.0,             Human number: 1,             Zombie number: 104
tick: 309.0,             Human number: 1,             Zombie number: 104
tick: 310.0,             Human number: 1,             Zombie number: 104
tick: 311.0,             Human number: 1,             Zombie number: 104
tick: 312.0,             Human number: 1,             Zombie number: 104
tick: 313.0,             Human number: 1,             Zombie number: 104
tick: 314.0,             Human number: 1,             Zombie number: 104
tick: 315.0,             Human number: 1,             Zombie number: 104
tick: 316.0,             Human number: 1,             Zombie number: 104
tick: 317.0,             Human number: 1,             Zombie number: 104
tick: 318.0,             Human number: 1,             Zombie number: 104
tick: 319.0,             Human number: 1,             Zombie number: 104
tick: 320.0,             Human number: 1,             Zombie number: 104
tick: 321.0,             Human number: 1,             Zombie number: 104
tick: 322.0,             Human number: 1,             Zombie number: 104
tick: 323.0,             Human number: 1,             Zombie number: 104
tick: 324.0,             Human number: 1,             Zombie number: 104
tick: 325.0,             Human number: 1,             Zombie number: 104
tick: 326.0,             Human number: 1,             Zombie number: 104
tick: 327.0,             Human number: 1,             Zombie number: 104
tick: 328.0,             Human number: 1,             Zombie number: 104
tick: 329.0,             Human number: 1,             Zombie number: 104
tick: 330.0,             Human number: 1,             Zombie number: 104
tick: 331.0,             Human number: 1,             Zombie number: 104
tick: 332.0,             Human number: 1,             Zombie number: 104
tick: 333.0,             Human number: 0,             Zombie number: 105
tick: 334.0,             Human number: 0,             Zombie number: 105
tick: 335.0,             Human number: 0,             Zombie number: 105
tick: 336.0,             Human number: 0,             Zombie number: 105
tick: 337.0,             Human number: 0,             Zombie number: 105
tick: 338.0,             Human number: 0,             Zombie number: 105
tick: 339.0,             Human number: 0,             Zombie number: 105
tick: 340.0,             Human number: 0,             Zombie number: 105
